project,block_time,borrower,asset_symbol,token_amount,usd_value
MakerDAO,2022-04-20T04:14:03+00:00,\x1111111254fb6c44bac0bed2854e76f90643097d,DAI,1999995,2001040.997385
MakerDAO,2022-04-20T04:20:41+00:00,\x2057cfb9fd11837d61b294d514c5bd03e5e7189a,DAI,1001550.12815,1002705.91699789
MakerDAO,2022-04-20T04:30:44+00:00,\x2057cfb9fd11837d61b294d514c5bd03e5e7189a,DAI,1660560,1661910.03528
MakerDAO,2022-04-20T04:49:25+00:00,\x1111111254fb6c44bac0bed2854e76f90643097d,DAI,1999995,2001854.99535
MakerDAO,2022-04-20T05:18:57+00:00,\x06981efbe070996654482f4f20786e0cef0f8740,DAI,300000,300219.9
MakerDAO,2022-04-20T05:34:21+00:00,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,DAI,1260277.453165,1261276.85318536
MakerDAO,2022-04-20T05:36:14+00:00,\x06981efbe070996654482f4f20786e0cef0f8740,DAI,300000,300108.3
MakerDAO,2022-04-20T06:50:49+00:00,\x1d683ff816c4961b15b9a41fe751db4f4d545faf,DAI,10000,10002.31
MakerDAO,2022-04-20T06:51:51+00:00,\x944fb2f58ed2c2e8fd4d9bb7013f262875467da5,DAI,30000,30007.02
MakerDAO,2022-04-20T06:53:35+00:00,\xfbec8b3f0c80faa041eabe70b3b073cecd28e4ea,DAI,932333.568256,932551.734310972
MakerDAO,2022-04-20T06:54:59+00:00,\xab7b99998206d1ccf8b13b02b7566c267f4e2313,DAI,2000000,2000468
MakerDAO,2022-04-20T06:54:59+00:00,\xfbec8b3f0c80faa041eabe70b3b073cecd28e4ea,DAI,700533.575421,700697.500277649
MakerDAO,2022-04-20T07:18:53+00:00,\xab7b99998206d1ccf8b13b02b7566c267f4e2313,DAI,5000000,5002820
MakerDAO,2022-04-20T07:27:21+00:00,\x20433dfb275e1660fe317cd9ea49997a38f380de,DAI,5000,5003.895
MakerDAO,2022-04-20T07:53:01+00:00,\x1111111254fb6c44bac0bed2854e76f90643097d,DAI,2018411.589229,2019925.39792092
MakerDAO,2022-04-20T08:17:22+00:00,\x2a49eae5cca3f050ebec729cf90cc910fadaf7a2,DAI,105417.892224636,105558.83594654
MakerDAO,2022-04-20T08:17:22+00:00,\x2a49eae5cca3f050ebec729cf90cc910fadaf7a2,DAI,105417.892224636,105558.83594654
MakerDAO,2022-04-20T08:23:54+00:00,\x2a49eae5cca3f050ebec729cf90cc910fadaf7a2,DAI,534453.465510883,534742.604835725
MakerDAO,2022-04-20T08:23:54+00:00,\x2a49eae5cca3f050ebec729cf90cc910fadaf7a2,DAI,534453.465510883,534742.604835725
MakerDAO,2022-04-20T08:32:27+00:00,\x1f847fd5e08fb559a69280a14e7e904e6dbff81f,DAI,19379.330199277,19389.34931299
MakerDAO,2022-04-20T08:32:27+00:00,\x1f847fd5e08fb559a69280a14e7e904e6dbff81f,DAI,5003056.54236493,5005643.12259733
MakerDAO,2022-04-20T09:04:28+00:00,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,DAI,780346.691094,780363.858721204
MakerDAO,2022-04-20T09:05:43+00:00,\x9c03e1dab3f6c90ef98049e840e2ee55ecd26fcb,DAI,528878.477598,528890.112924507
