block_time,nft_project_name,platform,evt_type,usd_amount,seller,buyer,original_amount,original_currency,block_number,nft_token_id,tx_hash
2022-04-20T05:02:45+00:00,Not Your Bro,LooksRare,Trade,108.03345,\xddb78a939eb9ebcbeb77c19ec9e5de94c5395d94,\x164b4c5f9ca1a1bc0fe0fa39a76a12aab85683e1,0.035,WETH,14619900,2543,\x2ae2b258b61123c19b06d871f849453d5bff9099a6ac5b075c6f8a806fd5aa9f
2022-04-20T05:03:18+00:00,OpenSea Collection,OpenSea,Trade,216.0669,\x391a3699f430a4563097aec735b3c242108350ca,\xb7ef5fb53dc42839270a94ca569536a7c7e7edde,0.07,ETH,14619902,25828147237821198195018353565513715926828886605696715423323237805829207883791,\x1bdab2d40b5f8acff3e63f6434ac36b264afe23a84be7f49acdffcaf9e2adc37
2022-04-20T05:03:45+00:00,Not Your Bro,LooksRare,Trade,92.6001,\xddb78a939eb9ebcbeb77c19ec9e5de94c5395d94,\x164b4c5f9ca1a1bc0fe0fa39a76a12aab85683e1,0.03,WETH,14619906,100,\x497b991fe76c7180245ca70ed81bf983a2e49bad237627f6080a18fee5314811
2022-04-20T05:03:45+00:00,OpenSea Collection,OpenSea,Trade,216.0669,\x391a3699f430a4563097aec735b3c242108350ca,\xb7ef5fb53dc42839270a94ca569536a7c7e7edde,0.07,ETH,14619906,25828147237821198195018353565513715926828886605696715423323237802530673000463,\x6f7656374cef575bdab2d578c6582d9b3836327d04e20f2a7bec8bef76c787b2
2022-04-20T05:04:04+00:00,Karafuru,LooksRare,Trade,7503.69477,\x32e634b23421d4c9c7845c5b2bd7f707ac47fbbe,\x98e3cb61729067e1b77b7f0d6dcd4eb113288469,2.431,WETH,14619909,5288,\x795bb586d80d116790eaf9fffdbfc318c5017a33679d89ca8e7a3496ab9a9162
2022-04-20T05:04:04+00:00,Feline Fiendz NFT,LooksRare,Trade,246.9336,\xb96a4ff9cff8a72ff539d8becbaeaf42b148f0e3,\xcb953961fc301fb95eed6c75ed9e6e77d366cfed,0.08,WETH,14619909,6440,\x2b0f295bc21d90e2c5caf328acc927426a206230327a38678438f874ce76d7d6
2022-04-20T05:04:59+00:00,Terraforms,LooksRare,Trade,1586548.38,\xd73e0def01246b650d8a367a4b209be59c8be8ab,\xa53496b67eec749ac41b4666d63228a0fb0409cf,514,WETH,14619916,9559,\x43f940e306101c8497e91660b3f7b136d82b2b349c901b75479e35879747a9f8
2022-04-20T05:05:38+00:00,Terraforms,LooksRare,Trade,1559445.05,\xa53496b67eec749ac41b4666d63228a0fb0409cf,\xd73e0def01246b650d8a367a4b209be59c8be8ab,505,WETH,14619918,5283,\xd1125c6085a00c580afa41b8c46f4bde8dc440290bdc5250452e6ddb4848689c
2022-04-20T05:06:18+00:00,Cool Cats,LooksRare,Trade,40113.2499,\x47e1088241ffebb9e58ebb5406a1a5332199a687,\x293d7b830d350b7b6089b42e341c5a2d251770e8,12.99,WETH,14619919,7774,\x8640ec467b8f41539b2a03b7da65f735028ffe257a92704b0fd9e8f783240ac0
2022-04-20T05:06:18+00:00,Goobers,LooksRare,Trade,169.84055,\xb96a4ff9cff8a72ff539d8becbaeaf42b148f0e3,\x9f04277994be82e9c595e49d5ae1539ecf4a5528,0.055,WETH,14619919,7534,\x318456b936daac5faac80bbb1c73d6bf16043325b8556b3972741928929f4593
2022-04-20T05:06:18+00:00,Meebits,LooksRare,Trade,18528.06,\xc480fb0ebea2591470f571436926785be5ebcd22,\xb3796a6b7c21dfb789a96489fd0f2fe50d12387a,6,WETH,14619919,9925,\xf46825f727f5bfce15810406992dce6356bae5811b47c917456888df07af3906
2022-04-20T05:07:11+00:00,Terraforms,LooksRare,Trade,1132373.267,\x6f124a460e752eddacaa294800908393a3cad980,\x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,366.7,WETH,14619921,1865,\xcf57cfedafe30a2d2c0c71607eb1a48089ae2d074e8da8cc74747ccf72bb07b7
2022-04-20T05:07:32+00:00,Terraforms,LooksRare,Trade,1531652.96,\xd73e0def01246b650d8a367a4b209be59c8be8ab,\xa53496b67eec749ac41b4666d63228a0fb0409cf,496,WETH,14619923,9728,\x977703af8b3513b0066a441fdeea5afdba4f5655daabf24d020d1fbc6537cad4
2022-04-20T05:07:51+00:00,OpenSea Collection,OpenSea,Trade,216.1607,\x391a3699f430a4563097aec735b3c242108350ca,\x9ff77d193c091ae350b8ce26d50d46e392631292,0.07,ETH,14619925,25828147237821198195018353565513715926828886605696715423323237805829207883791,\x55ef21feb6a303cb106c70cf9a55ec6110fb53f6ee26d6b542069185debbf49f
2022-04-20T05:08:15+00:00,Terraforms,LooksRare,Trade,1500772.86,\xa53496b67eec749ac41b4666d63228a0fb0409cf,\xd73e0def01246b650d8a367a4b209be59c8be8ab,486,WETH,14619927,9559,\xa7faeaa52ef192fad12c6caa3d379eec271c176d11e9168d74e717127f19ac62
2022-04-20T05:08:15+00:00,Cool Pets,LooksRare,Trade,4632.015,\xfa68cfa1d6bfb329a41d5039ca114ba06a2df241,\x293d7b830d350b7b6089b42e341c5a2d251770e8,1.5,WETH,14619927,3745,\xa09f1b6cac27646e17c6b385d99f560ab411d4f4fd2e83d8addd9c1d3cd012d6
2022-04-20T05:08:43+00:00,Pirates of the Metaverse by Drip Studios,LooksRare,Trade,342.76911,\x10b275029589da482ecba96f92d2a57f1798bc23,\x4d604e5b4fc66f6d34a96d7ada89774ce32ce62a,0.111,WETH,14619928,6752,\xdb7b6c68384d328f39d9472f02a7b05e755851d0e7e533c61e65f4886495462d
2022-04-20T05:10:37+00:00,SandVegasCasinoClub Official,LooksRare,Trade,614.51399,\x7d31fad9a16d314707e1c9823045eceb566b18d6,\x80c57a13156395a57d3fba40076bd7ffeff9c131,0.199,WETH,14619935,1569,\xc989840d0ae8377326cfa5e37576771fee0c58803607df1dfa3ff56c4eb51d2f
2022-04-20T05:11:12+00:00,Ethlizards,LooksRare,Trade,7729.9981846,\x3f23726de0266671f369d371336a0819e6871738,\xa9ea57635fd7a499a0c5874a56ad01d350606675,2.50199,WETH,14619939,1428,\x723ae7c2d6ae99428a1f73367dc64720e0a345db8709b94b2b069f39015118a4
2022-04-20T05:11:12+00:00,Terraforms,LooksRare,Trade,1470621.04,\xd73e0def01246b650d8a367a4b209be59c8be8ab,\xa53496b67eec749ac41b4666d63228a0fb0409cf,476,WETH,14619939,5283,\x60edd9dd9551a42db9cad8ce1f3384ff5b6cafff4fcf3c287c3af5ba7f4163ef
2022-04-20T05:12:15+00:00,OpenSea Collection,OpenSea,Trade,30.8954,\x16e315e37cdeda413d22a6899fff67a4b001d91b,\xf168b01072f10fcd56af7c71e6b225a38264a9d3,0.01,ETH,14619941,10352108022268130223900023432056223293851600609427043094840468085154223489025,\xeb23fc73aaf69edf4c5b5a51e6a5691842cc6dc5832791fe730f4e24a15f7ec3
2022-04-20T05:13:08+00:00,Terraforms,LooksRare,Trade,1112234.4,\x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,\x6f124a460e752eddacaa294800908393a3cad980,360,WETH,14619946,1865,\x561ded73ed9e911a3954a17cf65cad5375da7af109347ad17c7a8dc62b8fc15a
2022-04-20T05:13:08+00:00,Terraforms,LooksRare,Trade,1439725.64,\xa53496b67eec749ac41b4666d63228a0fb0409cf,\xd73e0def01246b650d8a367a4b209be59c8be8ab,466,WETH,14619946,9728,\xfe7d35505197d8d7aab64c9dad5020a820d6d862c0c78c29667af75d3b227891
2022-04-20T05:13:41+00:00,Terraforms,LooksRare,Trade,1408830.24,\xd73e0def01246b650d8a367a4b209be59c8be8ab,\xa53496b67eec749ac41b4666d63228a0fb0409cf,456,WETH,14619948,9559,\x06a8b4c9178c41a2951ab433583907122d48ff5d0892c5d32e84ecb7ea755056
2022-04-20T05:14:32+00:00,Pirates of the Metaverse by Drip Studios,LooksRare,Trade,339.8494,\x10b275029589da482ecba96f92d2a57f1798bc23,\x7fb0e71d7e4e0ac24e2a873b503f28da04e02320,0.11,WETH,14619954,6422,\x8676b9bbba125601de42ea3e935b3e5aaf991bab2d936933a147a81f5b8ccfdc
2022-04-20T05:17:05+00:00,Rubber Duck Bath Party,LooksRare,Trade,123.4964,\xec6770c4367aa1d722892f4d768f150f51246732,\x0a112cfa896a4a3457eb72c61b064b58879d6274,0.04,WETH,14619968,8385,\x6ec02eec81299dbfd93b6dba590229ca6bf3843f9ca26af8879bd4c9e8c5baad
2022-04-20T05:17:27+00:00,Chains NFT,LooksRare,Trade,182.15719,\x44cbdb1979fbc26fc72156959191f322005e8f37,\x8bcaadc4f9714621ddfc81e4cac116b62bc4043f,0.059,WETH,14619969,4530,\x988c405ba714c0d2dd1877e416a59b2931fd775b4b44901cbce0c7e5ccbe62ac
2022-04-20T05:17:27+00:00,Chill Bear Club Genesis,OpenSea,Trade,123.4964,\x1d6217fc90fb473ec8f39891579312b3c855c8e1,\x109291bcfa39bf08762ca9557f7e7f9597abfed7,0.04,WETH,14619969,5049,\x267533ae66b1d521655854c6a498f6d2112e26485e48c667dc75df66f45196fa
2022-04-20T05:18:57+00:00,Terraforms,LooksRare,Trade,1089238.248,\x6f124a460e752eddacaa294800908393a3cad980,\x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,352.8,WETH,14619974,1865,\xbe3158dc8b655b099adbdf298fd3257b9d0c6861572fd48047e196f446dd400f
2022-04-20T05:20:15+00:00,Akutar Mint Pass,LooksRare,Trade,9570.971,\xc5b4918121289b28c95e13376e9320baf5c8edb9,\x85f3d748ad810305e472575f40108f6fbab85004,3.1,WETH,14619978,8513,\xccd535088dfb778e0846ee4ee810f831f120c4ef41ba9e508fe72764ee62daa7
