project,version,block_time,block_number,tx_hash,evt_index,borrower,tx_from,asset_address,asset_symbol,token_amount,usd_value
Compound,2,2022-04-20T20:03:33+00:00,14623943,\x4a71de0cc1d76afb4d3ba9bed024d7df7d7700f8fcafb23d12422c2a129f9ae6,26,\xd55684f4369040c12262949ff78299f2bc9db735,\xbefe4f86f189c1c817446b71eb6ac90e3cb68e60,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,-3668082.479672,-3670936.24784118
Compound,2,2022-04-20T20:15:15+00:00,14623999,\x4380a513aa78b303f60fe409ef6701808d9132726170c958a24096e7db340a03,160,\xde9ec95d7708b8319ccca4b8bc92c0a3b70bf416,\xc26cf823ae06c9eb2b1752121ac6fec6eebd1043,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,-198.640632,-198.806099646456
Compound,2,2022-04-20T20:56:43+00:00,14624195,\x4c95e160aaf6678c3297b1dda7e1e686a59a28c942a06a9ac23a0ffcc8f23a0b,212,\x13ec336bd81819b3ef450d8ef3c4f290c0a41d16,\x13ec336bd81819b3ef450d8ef3c4f290c0a41d16,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,-806.476868,-802.971113054804
Compound,2,2022-04-20T21:52:06+00:00,14624474,\x5d932967a980f7b250b3a4df76a3a326cb6a625dc9a8c995dacd9154b2c57ee9,76,\x246ac45817710f526750bdd5c531ab3f14633e64,\x246ac45817710f526750bdd5c531ab3f14633e64,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,-210161.762774,-210175.843612106
Compound,2,2022-04-20T22:54:11+00:00,14624784,\xa8b3d773d71cf5ff3efab5c2b2d3b90c845b8bca97edd2af4b60006c64c46281,347,\x2586dc1a37fec11f47f2ee938c2028998259ff35,\x2586dc1a37fec11f47f2ee938c2028998259ff35,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,-10418.743253,-10432.3709691749
Compound,2,2022-04-20T23:22:28+00:00,14624923,\x51cb1a8c669f32ce81a608396e2e0a987d40cd8bc9e2503f8501e8e7364959dc,54,\x0000000000007f150bd6f54c40a34d7c3d5e9f56,\xa10571375c543110f75a670b0b810b798cdb0e2b,\xe41d2489571d322189246dafa5ebde1f4699f498,ZRX,-208.795581932603,-215.457831360908
Compound,2,2022-04-20T23:39:26+00:00,14624990,\xe553f66927e7144a20a9b7783ae73c68aa4b8d37aa1a0abb02063f7fba2abd82,144,\x6a2221b73e1502d4dd9631c12055c1e6c8642de2,\x6a2221b73e1502d4dd9631c12055c1e6c8642de2,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,-200372.340794,-200719.986805278
Compound,2,2022-04-20T00:25:51+00:00,14618753,\x7e6eadaf314b8ac9641c6ddd95285754abe8d829c32d99fc13f7c6e73ceaa925,615,\x2e9dce29cc89f37ff233e9182d2193552dda1642,\x2e9dce29cc89f37ff233e9182d2193552dda1642,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-1.25,-3880.05
Compound,2,2022-04-20T00:37:18+00:00,14618809,\x84c2f38219caf780aa6e20faaeb25fd6693c2948bd42bd01cb33ff4231a19d41,355,\xc692a7fe93707b6121827211e974d44bf8e98aa2,\xc692a7fe93707b6121827211e974d44bf8e98aa2,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-0.0910346596196546,-280.648931448241
Compound,2,2022-04-20T00:59:40+00:00,14618902,\x59089b33d4f11d8a655523b3975729764564b6ec75fb525f1aa635c75d884e36,191,\xffc4c270244f9c0890c744f042f5f25f9ff8d4b5,\x95f2c3250609b25e13183f349042752ef6536bb3,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-1.57398297451657,-4864.53604121117
